case_id,parameter,scenario,parameter_value,time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
wind_speed_minus10,wind_speed,minus10,2.7,360,37.2002881049,34.4234940677,-21.707107741,-23.7722245604,-25.3820179753,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,35.0067647482,9.4116,9.6348,19.0464,219.993136772,243.516665416,260.499835103,275.072858495,4,4.65370460557,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.296977203514
wind_speed_minus10,wind_speed,minus10,2.7,390,37.2106042863,34.1332132582,-22.4123456355,-24.4432652934,-26.00273132,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,38.7963609521,9.4116,9.6348,19.0464,221.619481543,239.484167756,252.355761308,263.39262837,4,4.60349612391,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.2969770286
wind_speed_minus10,wind_speed,minus10,2.7,420,37.2198736375,33.8468312692,-22.9498206162,-24.9535262746,-26.4743387306,6.3,6.3,0,173,0.150000013671,-0,177989.997137,31410.0028628,42.5236078336,9.4116,9.6348,19.0464,222.603592404,236.275118109,246.100766924,254.518188771,4,4.56422014831,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,-0,-0,-0.296976899263
wind_speed_minus10,wind_speed,minus10,2.7,450,37.2281218148,33.5712034627,-23.3628378483,-25.344601679,-26.8354392927,5.91883713608,6.28402249321,-0.00211089801808,173,0.150251735324,3.33340252865e-05,177937.286623,31462.7133768,46.0344516999,9.4116,9.6348,19.0464,223.142063928,233.687758066,241.250180897,247.723204097,4,4.53344707451,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00200004151719,259.857684436,-0.296973844292
wind_speed_minus10,wind_speed,minus10,2.7,480,37.235531614,33.3392553764,-23.6818725327,-25.6462737857,-27.1138390119,5.33729903439,6.17524088631,-0.0048435945198,173,0.151997188976,7.89683335754e-05,177571.788629,31828.2113715,48.5546352872,9.4116,9.6348,19.0464,223.48338316,231.64037897,237.484198832,242.484436774,4,4.50928666526,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00473810001452,615.725598356,-0.296975636971
wind_speed_minus10,wind_speed,minus10,2.7,510,37.2423767657,33.1440180113,-23.9290984987,-25.8797778094,-27.3292404718,4.92961220208,6.0067220323,-0.00622606838272,173,0.154814898972,0.000106763863962,176981.760155,32418.2398447,50.2697214478,9.4116,9.6348,19.0464,223.687142517,230.022300218,234.554807508,238.431134806,4,4.49032338507,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00640583183773,832.603725767,-0.296976375743
wind_speed_minus10,wind_speed,minus10,2.7,540,37.2488492739,32.9760152519,-24.1215788316,-26.0612957724,-27.496592801,4.6255765598,5.80925936275,-0.00684209712689,173,0.158305523931,0.000124685287023,176250.823289,33149.1767112,51.4285508541,9.4116,9.6348,19.0464,223.783077676,228.729627706,232.262497661,235.281994009,4,4.47542260194,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00748111722139,972.533897151,-0.296976614802
wind_speed_minus10,wind_speed,minus10,2.7,570,37.2550814815,32.8287179673,-24.2723323603,-26.2031880712,-27.6273194239,4.3882836504,5.60065674678,-0.00700793697326,173,0.162235131678,0.000136465576626,175427.963427,33972.0365733,52.2026004917,9.4116,9.6348,19.0464,223.796623762,227.684719674,230.455646734,232.822054889,4,4.46367850661,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00818793459756,1064.59717538,-0.296976631682
wind_speed_minus10,wind_speed,minus10,2.7,600,37.2611646695,32.6973557085,-24.3912752478,-26.3148738399,-27.7301270926,4.19630125203,5.39141616477,-0.00690817868636,173,0.166452318167,0.000144106778443,174544.884576,34855.1154242,52.7129838452,9.4116,9.6348,19.0464,223.747948416,226.828966939,229.018975684,230.887478745,4,4.45437702041,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00864640670659,1124.39139249,-0.296976540354
wind_speed_minus10,wind_speed,minus10,2.7,630,37.267161112,32.5783292968,-24.4859569165,-26.4035249901,-27.811645639,4.03630017318,5.18768272109,-0.00665539045032,173,0.170852242897,0.000148805346044,173623.540337,35776.4596627,53.0460437765,9.4116,9.6348,19.0464,223.652533862,226.117853766,227.864764158,229.353509176,4,4.44696002154,19.8823288374,19.8823288374,2.7,93,2400,1,55802.4905786,0.00892832076262,1161.23875744,-0.296976389072
