manufacturing_overhead_rate,outer_layer_count,effective_total_cost_yuan,maximum_total_cost_yuan,feasible,selected
0.0,1,377.09182500000003,565.6377375000001,True,False
0.0,2,432.85020000000003,565.6377375000001,True,False
0.0,3,488.60857500000003,565.6377375000001,True,False
0.0,4,544.3669500000001,565.6377375000001,True,True
0.05,1,377.09182500000003,565.6377375000001,True,False
0.05,2,435.63811875000005,565.6377375000001,True,False
0.05,3,494.1844125,565.6377375000001,True,False
0.05,4,552.7307062500001,565.6377375000001,True,True
0.1,1,377.09182500000003,565.6377375000001,True,False
0.1,2,438.4260375,565.6377375000001,True,False
0.1,3,499.76025000000004,565.6377375000001,True,False
0.1,4,561.0944625000001,565.6377375000001,True,True
0.12716049382716035,1,377.09182500000003,565.6377375000001,True,False
0.12716049382716035,2,439.9404625,565.6377375000001,True,False
0.12716049382716035,3,502.7891,565.6377375000001,True,False
0.12716049382716035,4,565.6377375000001,565.6377375000001,True,True
0.15,1,377.09182500000003,565.6377375000001,True,False
0.15,2,441.21395625,565.6377375000001,True,False
0.15,3,505.3360875,565.6377375000001,True,True
0.15,4,569.4582187500001,565.6377375000001,False,False
0.2,1,377.09182500000003,565.6377375000001,True,False
0.2,2,444.00187500000004,565.6377375000001,True,False
0.2,3,510.91192500000005,565.6377375000001,True,True
0.2,4,577.8219750000001,565.6377375000001,False,False
