parameter,scenario,factor,parameter_value,t_core_35_s,t_core_35_min,relative_change_pct
metabolic_rate_W_m2,0.9x,0.9,63.0,13908.764556386228,231.81274260643713,-14.530508905992066
metabolic_rate_W_m2,1.1x,1.1,77.0,19227.391823219405,320.4565303869901,18.15250646694591
h_in_W_m2K,0.9x,0.9,2.7,17879.357430705237,297.98929051175395,9.868822244790854
h_in_W_m2K,1.1x,1.1,3.3000000000000003,15062.402061650353,251.04003436083923,-7.441395413405626
lambda_out,0.9x,0.9,0.9,17053.297382857974,284.22162304763293,4.792675357957549
lambda_out,1.1x,1.1,1.1,15652.136152842322,260.86893588070535,-3.8174737882587197
blood_flow_time_constant_s,0.8x,0.8,138.4,16289.851304690235,271.49752174483723,0.10129191306685176
blood_flow_time_constant_s,1.2x,1.2,207.6,16256.64882284739,270.9441470474565,-0.10273765509943468
outer_conductivity_W_mK,0.9x,0.9,0.04743,16385.115610303765,273.08526017172943,0.6866919812903015
outer_conductivity_W_mK,1.1x,1.1,0.05797,16182.391715598864,269.7065285933144,-0.559048288651039
