outer_layer_count,added_outer_layer_count,outer_thickness_mm,state_dimension,garment_mass_kg,baseline_cost_yuan,added_cost_yuan,total_cost_yuan,maximum_total_cost_yuan,budget_utilization_pct,weight_penalty_s,load_capacity_time_s,load_capacity_time_min,t15_s,t15_min,t10_s,t10_min,objective_standing_time_s,objective_standing_time_min,active_constraint,T_skin_at_standing_limit_C,T_core_at_standing_limit_C,T_pcm_at_standing_limit_C,pcm_phase_fraction_at_standing_limit,max_abs_energy_balance_residual_J,relative_energy_balance_error,solver_method,rtol,atol,max_step_s
1,0,0.3,6,0.9427708650000001,377.09182500000003,0.0,377.09182500000003,565.6377375000001,0.0,18.8554173,1981.1445827,33.01907637833333,40717.233313052486,678.6205552175414,60010.271338409155,1000.1711889734859,1981.1445827,33.01907637833333,declining_load,31.753523567890557,37.35097545759665,-13.927473775936276,1.0,0.7733204036630923,1.462558935286336e-07,RK45,1e-07,1e-09,5.0
2,1,0.6,7,1.128632115,377.09182500000003,55.758375,432.85020000000003,565.6377375000001,29.572836801752455,22.5726423,1977.4273577,32.95712262833333,41816.12068907704,696.9353448179506,61624.03608081621,1027.0672680136036,1977.4273577,32.95712262833333,declining_load,31.922498869517945,37.3736804614743,-13.256022426271466,1.0,0.5238882866033236,9.795158915978155e-08,RK45,1e-07,1e-09,5.0
3,2,0.8999999999999999,8,1.3144933650000001,377.09182500000003,111.51675,488.60857500000003,565.6377375000001,59.14567360350491,26.2898673,1973.7101326999998,32.89516887833333,42943.44237279216,715.724039546536,63283.35048670277,1054.7225081117128,1973.7101326999998,32.89516887833333,declining_load,32.09447923372636,37.39578584799307,-12.467793175755684,1.0,0.45315530980587937,8.377490055184655e-08,RK45,1e-07,1e-09,5.0
4,3,1.2,9,1.500354615,377.09182500000003,167.27512500000006,544.3669500000001,565.6377375000001,88.7185104052574,30.0070923,1969.9929076999997,32.83321512833333,44100.049727937905,735.0008287989651,64989.949939056685,1083.1658323176114,1969.9929076999997,32.83321512833333,declining_load,32.267393096986865,37.417465309616915,-11.522308631681646,1.0,0.5737071462790482,1.0488751539966387e-07,RK45,1e-07,1e-09,5.0
