weight_penalty_s_per_kg,outer_layer_count,standing_time_score_s,standing_time_score_min,selected,is_problem_coefficient
0.0,1,40717.233313052486,678.6205552175414,False,False
0.0,2,41816.12068907704,696.9353448179506,False,False
0.0,3,42943.44237279216,715.724039546536,False,False
0.0,4,44100.049727937905,735.0008287989651,True,False
20.0,1,40717.233313052486,678.6205552175414,False,True
20.0,2,41812.40346407704,696.8733910679507,False,True
20.0,3,42936.00792279216,715.600132046536,False,True
20.0,4,44088.898052937904,734.8149675489651,True,True
1000.0,1,40717.233313052486,678.6205552175414,False,False
1000.0,2,41630.25943907704,693.8376573179506,False,False
1000.0,3,42571.71987279216,709.528664546536,False,False
1000.0,4,43542.46597793791,725.7077662989651,True,False
2000.0,1,40717.233313052486,678.6205552175414,False,False
2000.0,2,41444.39818907704,690.7399698179506,False,False
2000.0,3,42199.99737279216,703.333289546536,False,False
2000.0,4,42984.8822279379,716.414703798965,True,False
4000.0,1,40717.233313052486,678.6205552175414,False,False
4000.0,2,41072.67568907704,684.5445948179507,False,False
4000.0,3,41456.55237279216,690.9425395465361,False,False
4000.0,4,41869.714727937906,697.828578798965,True,False
6000.0,1,40717.233313052486,678.6205552175414,False,False
6000.0,2,40700.95318907704,678.3492198179506,False,False
6000.0,3,40713.10737279216,678.551789546536,False,False
6000.0,4,40754.5472279379,679.242453798965,True,False
6100.0,1,40717.233313052486,678.6205552175414,True,False
6100.0,2,40682.36706407704,678.0394510679507,False,False
6100.0,3,40675.93512279216,677.932252046536,False,False
6100.0,4,40698.788852937905,678.313147548965,False,False
7000.0,1,40717.233313052486,678.6205552175414,True,False
7000.0,2,40515.09193907704,675.2515323179507,False,False
7000.0,3,40341.38487279216,672.3564145465359,False,False
7000.0,4,40196.963477937905,669.9493912989651,False,False
