outer_layer_count,outer_thickness_mm,time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_outer_surface_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,alpha_skin,q_outer_air_W_m2,h_out_W_m2K,c_eff_pcm_J_kgK,pcm_phase_fraction,garment_mass_kg,added_garment_mass_kg,maximum_external_load_kg,external_load_margin_kg,T_outer_1_C,energy_balance_residual_J,T_outer_2_C,T_outer_3_C,T_outer_4_C
1,0.3,0.0,37.0,37.0,37.0,37.0,37.0,6.3,6.3,0.15000001367134336,532.1838710020842,7.0501707976434105,2400.0,0.0,0.9427708650000001,0.0,100.0,99.057229135,37.0,0.0,,,
1,0.3,30.0,37.01546342836356,36.990314528049375,31.879455659840964,30.211502249310733,28.150103585152294,6.3,6.3,0.15000001367134336,457.1285681540213,6.838228160454025,2400.0,0.0,0.9427708650000001,0.0,100.0,99.057229135,28.150103585152294,0.009472822628595168,,,
1,0.3,60.0,37.03079161388871,36.95371311394412,26.167568559347043,24.761258713017817,22.72505603993247,6.3,6.3,0.15000001367134336,412.265267613257,6.69787782778605,4944.773407940105,0.010416505614751366,0.9427708650000001,0.0,100.0,99.057229135,22.72505603993247,-0.15217345084965928,,,
1,0.3,90.0,37.0459001036003,36.89794454450484,23.257637058311623,22.454731169151334,20.24196295935039,6.3,6.3,0.15000001367134336,392.0405189316626,6.630583304134149,17421.46654206899,0.1678227293891178,0.9427708650000001,0.0,100.0,99.057229135,20.24196295935039,0.0956986358796712,,,
1,0.3,120.0,37.06074481126999,36.83444851750239,21.725931762501087,21.017504677715717,18.82637405918675,6.3,6.3,0.15000001367134336,380.6009298453253,6.5912832793813925,22412.63275959992,0.37928718599551536,0.9427708650000001,0.0,100.0,99.057229135,18.82637405918675,-0.18631696174270473,,,
1,0.3,150.0,37.075306783906605,36.76647922572314,20.443721894971272,19.717885169431447,17.58682035705006,6.3,6.3,0.15000001367134336,370.6389774248196,6.55628361128872,21023.555841395533,0.5904003481561707,0.9427708650000001,0.0,100.0,99.057229135,17.58682035705006,-0.24161328427726403,,,
1,0.3,180.0,37.08957246579213,36.694405664374834,19.052126254926147,18.231241569015594,16.202902351694764,6.3,6.3,0.15000001367134336,359.57863735938037,6.516533660438437,15362.174307418523,0.7799746922317656,0.9427708650000001,0.0,100.0,99.057229135,16.202902351694764,-0.47953461993893143,,,
1,0.3,210.0,37.10352716278574,36.6173505794095,17.40487950326445,16.474571504664198,14.56496083527526,6.3,6.3,0.15000001367134336,346.57403947853794,6.468527353779437,10645.16998752827,0.9384986484703856,0.9427708650000001,0.0,100.0,99.057229135,14.56496083527526,-0.3981122701225104,,,
1,0.3,240.0,37.11715179301557,36.53316349012899,14.7073147736369,13.271313026853479,11.724388978897636,6.3,6.3,0.15000001367134336,324.2479082248639,6.382646609118703,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,11.724388978897636,-0.12824209284735844,,,
1,0.3,270.0,37.13041218169749,36.43621524529603,11.301041503896489,9.886248592826208,8.426637294601568,6.3,6.3,0.15000001367134336,298.7032593172563,6.278386323456196,2400.0,1.0,0.9427708650000001,0.0,100.0,99.057229135,8.426637294601568,-0.12823890426079743,,,
