clothing_initial_temperature_C,t_core_35_s,t_core_35_min,relative_change_pct
20.0,15896.189050287781,264.936484171463,-2.317766401587628
25.0,16066.460781270947,267.7743463545158,-1.2714449877892344
30.0,16153.590674781542,269.22651124635905,-0.7360309596607336
37.0,16273.367699227285,271.2227949871214,0.0
