effect,coefficient,coefficient_unit,effective_parameter_value,effective_parameter_unit,t_core_35_s,t_core_35_min,relative_change_pct
load_metabolism,0.0,W/kg,70.0,W/m2,16273.367699227285,271.2227949871214,0.0
load_metabolism,2.0,W/kg,70.675,W/m2,16529.829170697634,275.49715284496057,1.575958192615085
load_metabolism,5.0,W/kg,71.6875,W/m2,16925.0306158306,282.08384359717667,4.0044748490151765
load_metabolism,10.0,W/kg,73.375,W/m2,17613.091618325412,293.5515269720902,8.232616283608843
compression_inner_heat_transfer,0.0,1/kg,3.0,W/(m2 K),16273.367699227285,271.2227949871214,0.0
compression_inner_heat_transfer,0.1,1/kg,3.1672751249999997,W/(m2 K),15559.620632983459,259.3270105497243,-4.38598254175574
compression_inner_heat_transfer,0.2,1/kg,3.3345502500000004,W/(m2 K),14941.61111113442,249.02685185224033,-8.183656958455511
compression_inner_heat_transfer,0.5,1/kg,3.836375625,W/(m2 K),13497.732037868116,224.96220063113526,-17.0563076596061
