outer_layer_count,added_outer_layer_count,outer_thickness_mm,state_dimension,garment_mass_kg,baseline_garment_mass_kg,added_garment_mass_kg,maximum_external_load_kg,external_load_margin_kg,baseline_cost_yuan,added_cost_yuan,total_cost_yuan,maximum_total_cost_yuan,budget_utilization_pct,weight_penalty_s_per_kg,weight_penalty_s,weight_penalty_min,t15_s,t15_min,t10_s,t10_min,t_core_35_s,t_core_35_min,objective_mode,standing_time_score_s,standing_time_score_min,safe_limit_active,safe_standing_time_s,safe_standing_time_min,safe_score_s,safe_score_min,T_skin_at_t15_C,T_core_at_t15_C,T_pcm_at_t15_C,T_skin_at_safe_limit_C,T_core_at_safe_limit_C,T_pcm_at_safe_limit_C,pcm_phase_fraction_at_safe_limit,max_abs_energy_balance_residual_J,relative_energy_balance_error,solver_method,rtol,atol,max_step_s,thermal_gain_vs_problem1_s,thermal_gain_vs_problem1_min,net_gain_vs_problem1_s,net_gain_vs_problem1_min
1,0,0.3,6,0.9427708650000001,0.9427708650000001,0.0,100.0,99.057229135,377.09182500000003,0.0,377.09182500000003,565.6377375000001,0.0,20.0,0.0,0.0,40717.233313052486,678.6205552175414,60010.271338409155,1000.1711889734859,15134.773384634818,252.24622307724698,problem1_t15_plus_insulation_gain_minus_added_mass_penalty,40717.233313052486,678.6205552175414,core_35C,15134.773384634818,252.24622307724698,15134.773384634818,252.24622307724698,15.0,26.511009754933312,-19.3794186132916,23.415929000559967,35.0,-16.653726509419013,1.0,0.7733204036630923,1.462558935286336e-07,RK45,1e-07,1e-09,5.0,0.0,0.0,0.0,0.0
2,1,0.6,7,1.128632115,0.9427708650000001,0.18586124999999998,100.0,98.871367885,377.09182500000003,55.758375,432.85020000000003,565.6377375000001,29.572836801752455,20.0,3.7172249999999996,0.061953749999999995,41816.12068907704,696.9353448179506,61624.03608081621,1027.0672680136036,15505.020653616584,258.41701089360976,problem1_t15_plus_insulation_gain_minus_added_mass_penalty,41812.40346407704,696.8733910679507,core_35C,15505.020653616584,258.41701089360976,15501.303428616584,258.3550571436097,15.0,26.453278893167237,-18.997104477983036,23.46068334775987,35.0,-16.187738594624776,1.0,0.5238882866033236,9.795158915978155e-08,RK45,1e-07,1e-09,5.0,1098.8873760245551,18.314789600409252,1095.1701510245548,18.252835850409248
3,2,0.8999999999999999,8,1.3144933650000001,0.9427708650000001,0.37172250000000007,100.0,98.685506635,377.09182500000003,111.51675,488.60857500000003,565.6377375000001,59.14567360350491,20.0,7.434450000000002,0.12390750000000003,42943.44237279216,715.724039546536,63283.35048670277,1054.7225081117128,15884.475851877758,264.7412641979626,problem1_t15_plus_insulation_gain_minus_added_mass_penalty,42936.00792279216,715.600132046536,core_35C,15884.475851877758,264.7412641979626,15877.041401877757,264.61735669796263,15.0,26.396815470098414,-18.623290470183566,23.50545783645068,35.0,-15.731095615910098,1.0,0.45315530980587937,8.377490055184655e-08,RK45,1e-07,1e-09,5.0,2226.2090597396746,37.103484328994575,2218.774609739674,36.97957682899457
4,3,1.2,9,1.500354615,0.9427708650000001,0.5575837499999999,100.0,98.499645385,377.09182500000003,167.27512500000006,544.3669500000001,565.6377375000001,88.7185104052574,20.0,11.151675,0.18586124999999998,44100.049727937905,735.0008287989651,64989.949939056685,1083.1658323176114,16273.367699227285,271.2227949871214,problem1_t15_plus_insulation_gain_minus_added_mass_penalty,44088.898052937904,734.8149675489651,core_35C,16273.367699227285,271.2227949871214,16262.216024227286,271.03693373712144,15.0,26.341589872698272,-18.257706211495144,23.550212833993573,35.0,-15.283503663591226,1.0,0.5737071462790482,1.0488751539966387e-07,RK45,1e-07,1e-09,5.0,3382.8164148854194,56.38027358142366,3371.6647398854184,56.19441233142364
