outer_layer_count,added_outer_layer_count,outer_thickness_mm,garment_mass_kg,total_cost_yuan,maximum_total_cost_yuan,t15_s,t15_min,weight_penalty_s,weight_penalty_min,penalized_objective_s,penalized_objective_min,feasible,selected
1,0,0.3,0.942770865,377.091825,565.6377375,40717.233313052486,678.6205552175414,18.8554173,0.314256955,40698.377895752485,678.3062982625414,True,False
2,1,0.6,1.128632115,432.8502,565.6377375,41816.12068907704,696.9353448179506,22.5726423,0.376210705,41793.54804677704,696.5591341129506,True,False
3,2,0.9,1.314493365,488.608575,565.6377375,42943.44237279216,715.724039546536,26.2898673,0.438164455,42917.15250549216,715.285875091536,True,False
4,3,1.2,1.500354615,544.36695,565.6377375,44100.049727937905,735.0008287989651,30.0070923,0.500118205,44070.0426356379,734.500710593965,True,True
