parameter,baseline_value,lower_value,upper_value,S_t15,S_t10,abs_S_t15,abs_S_t10,rank_t15,rank_t10
M0,70.0,63.0,77.0,0.9244255016588997,1.1126532158008313,0.9244255016588997,1.1126532158008313,2,2
beta_DSC,10.0,9.0,11.0,-0.003071568103893001,-0.0020847699310786493,0.003071568103893001,0.0020847699310786493,4,4
h_in,3.0,2.7,3.3,-1.3816733644955932,-1.4413496189386643,1.3816733644955932,1.4413496189386643,1,1
lambda_out,1.0,0.9,1.1,-0.6492920713000752,-0.6812810292422341,0.6492920713000752,0.6812810292422341,3,3
