case_id,case_purpose,model_name,model_variant,state_dimension,tau_blood_flow_s,t15_s,t15_min,t10_s,t10_min,delta_t15_vs_quasisteady_s,delta_t15_vs_quasisteady_pct,delta_t10_vs_quasisteady_s,delta_t10_vs_quasisteady_pct,T_core_at_t15_C,T_core_at_t10_C,skin_blood_flow_at_t15,skin_blood_flow_eq_at_t15,skin_blood_flow_at_t10,skin_blood_flow_eq_at_t10,alpha_skin_at_t15,alpha_skin_at_t10,max_abs_energy_balance_residual_J,relative_energy_balance_error
tau_0_quasisteady,structural_sensitivity,Model 5 - Quasi-steady SBF,quasisteady_sbf,5,0.0,40725.14125684563,678.7523542807605,59983.280553211145,999.7213425535191,0.0,0.0,0.0,0.0,26.511259019296787,21.04104977360233,0.608695652173913,0.608695652173913,0.5,0.5,0.6658214384134358,0.7283147252465181,22.51188789214939,4.257822110516553e-06
tau_60,structural_sensitivity,Model 6 - Dynamic SBF,dynamic_sbf,6,60.0,40722.45633575543,678.7076055959238,59992.67611372697,999.8779352287828,-2.6849210902000777,-0.00659278521163818,9.395560515826219,0.015663632314160313,26.511179209620323,21.03947143872226,0.6091948083011869,0.608695652173913,0.5000000000000007,0.5,0.6655606865523073,0.7283147252465179,0.7949241274327505,1.5034670035633627e-07
baseline,structural_sensitivity,Model 6 - Dynamic SBF,dynamic_sbf,6,173.0,40717.233313052486,678.6205552175414,60010.271338409155,1000.1711889734859,-7.907943793143204,-0.019417842514699517,26.99078519800969,0.04499718079618232,26.511009754933312,21.036406576762147,0.6101405097658753,0.608695652173913,0.5000000177541564,0.5,0.6650672629720803,0.7283147140167727,0.7949241274327505,1.5034174450128387e-07
tau_200,structural_sensitivity,Model 6 - Dynamic SBF,dynamic_sbf,6,200.0,40716.00576949612,678.6000961582687,60014.54153977697,1000.2423589962829,-9.135487349507457,-0.022432058103596737,31.26098656582326,0.05211616683434253,26.510965448754764,21.03564956259268,0.6103675730698912,0.608695652173913,0.5000000856611377,0.5,0.6649489079615143,0.728314671064687,0.7949241274327505,1.503405229595313e-07
tau_1_limit,limit_validation,Model 6 - Dynamic SBF,dynamic_sbf,6,1.0,40725.23055634318,678.7538426057197,59983.66089496652,999.7276815827753,0.08929949755111011,0.00021927363489770448,0.3803417553717736,0.0006340796166264574,26.5112577604259,21.041006960514302,0.6087039546236844,0.608695652173913,0.5000000000000001,0.5,0.6658170995522985,0.7283147252465181,0.016164634362212382,3.0573227004100318e-09
