target_factor,target_t15_min,lambda_opt,improvement_pct,latent_heat_kJ_kg,total_pcm_latent_heat_kJ,achieved_t15_min,t15_error_s
0.95,698.0742191715168,10.43948208690343,943.948208690343,1276.8831544249092,582.5491008003221,698.0742191750778,2.136584953404963e-07
1.0,734.8149675489651,28.352528404007945,2735.2528404007944,3467.8794985288423,1582.14169914531,734.8149675607893,7.094567990861833e-07
1.05,771.5557159264133,46.37892082529796,4537.892082529796,5672.739531448883,2588.059292401235,771.5557159262468,-9.989889804273844e-09
