parameter,baseline_value,low_value,high_value,lambda_low,lambda_baseline,lambda_high,normalized_sensitivity_lambda,abs_normalized_sensitivity_lambda,direction_interpretation,rank
h_in,3.0,2.7,3.3,1.0,28.352528404007945,69.79809130696354,12.132620118853,12.132620118853,parameter increase raises required PCM multiplier,1
M0,70.0,63.0,77.0,60.2145439167457,28.352528404007945,1.0,-10.442550849957893,10.442550849957893,parameter increase lowers required PCM multiplier,2
lambda_out,1.0,0.9,1.1,3.839156017340519,28.352528404007945,52.502323912885274,8.581803922761551,8.581803922761551,parameter increase raises required PCM multiplier,3
beta_DSC,10.0,9.0,11.0,25.51727554460945,28.352528404007945,31.18778119916704,0.9999999953718416,0.9999999953718416,parameter increase raises required PCM multiplier,4
