time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,alpha_skin,d_alpha_skin_dt_1_s,q_cs_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,lambda_pcm,latent_heat_kJ_kg,released_pcm_latent_heat_kJ,energy_balance_residual_J
0.0,37.0,37.0,37.0,37.0,37.0,6.3,6.3,0.0,0.15000001367134336,-0.0,0.0,0.0,0.0,0.0,532.1838710020842,2400.0,0.0,28.352528404007945,3467.8794985288423,0.0,0.0
10.0,37.00516356302321,36.99950685921244,36.011011170845386,34.65380093201313,32.65204896653071,6.3,6.3,0.0,0.15000001367134336,-0.0,0.0713134992720158,2.9203927650525525,160.04097613975773,323.92731396394123,495.0298649851009,2400.0,0.0,28.352528404007945,3467.8794985288423,0.0,2.7558380001646583
20.0,37.010319193820514,36.9965023763863,33.9877031790851,32.340050499525255,30.23839756594922,6.3,6.3,0.0,0.15000001367134336,-0.0,0.1741872357113579,8.88913883054953,194.2896801330687,340.0934788110245,474.6359826961233,2400.0,0.0,28.352528404007945,3467.8794985288423,0.0,2.83486575502684
30.0,37.01546342836357,36.99031452804938,31.879455659840957,30.21150224931072,28.150103585152287,6.3,6.3,0.0,0.15000001367134336,-0.0,0.3170496713709064,15.099423738081372,196.68352355385466,333.5794562983092,457.1285681540213,2400.0,0.0,28.352528404007945,3467.8794985288423,0.0,2.846359086164739
40.0,37.02059256839901,36.981002334876386,29.84891815845495,28.200645752450583,26.197523969348996,6.3,6.3,0.0,0.15000001367134336,-0.0,0.4991101149963675,21.070893149746173,194.362757702249,324.148980458916,440.8769958842364,2400.0,0.0,28.352528404007945,3467.8794985288423,0.0,2.8481887105153874
50.0,37.02570307265668,36.96873270238647,27.91597016537362,26.292088353876505,24.347010023928593,6.3,6.3,0.0,0.15000001367134336,-0.0,0.7182197609595637,26.74530858147171,191.48664135572903,314.7562783672106,425.58260962125263,2400.0,0.0,28.352528404007945,3467.8794985288423,0.0,2.848536034776771
60.0,37.030791647905836,36.95384711685911,26.454977220840192,25.478427069673018,23.145869083327607,6.3,6.3,0.0,0.15000001367134336,-0.0,0.9700320084529902,31.017660518289055,115.15389065786334,377.4589740442266,415.712433872186,22777.62965967335,0.001410401733323727,28.352528404007945,3467.8794985288423,2.231455394838292,2.1786842421570327
70.0,37.03585590887345,36.93753610698418,25.776398808271885,25.145881151285582,22.71651765539243,6.3,6.3,0.0,0.15000001367134336,-0.0,1.2395079104378117,32.974250672517144,74.3500589741074,393.12422589632286,412.19538225012286,42805.32132709302,0.004270420512572355,28.352528404007945,3467.8794985288423,6.756410365826211,2.029182178026531
80.0,37.040894772135424,36.92062262958944,25.41197976432885,24.913501479982404,22.460753208843226,6.3,6.3,0.0,0.15000001367134336,-0.0,1.516258873862986,34.00091447520869,58.780098269754475,396.90839474626824,410.1030687534552,60723.766246939405,0.007555341951998903,28.352528404007945,3467.8794985288423,11.953621553559387,1.833298790770641
90.0,37.045907779154504,36.90342876145372,25.175411267781882,24.733307682433825,22.272080702263715,6.3,6.3,0.0,0.15000001367134336,-0.0,1.796218728252044,34.649030683693766,52.132445902314295,398.2804355833106,408.5609504412829,77238.1308008607,0.011008838124192823,28.352528404007945,3467.8794985288423,17.4175418554261,1.953911913522461
100.0,37.05089472384663,36.886093669670686,24.998948502162868,24.584702225057285,22.120207745827564,6.3,6.3,0.0,0.15000001367134336,-0.0,2.077630409890735,35.11915444129754,48.84753787834624,398.80918850175937,407.3204431094908,92676.47055508863,0.014542652772690123,28.352528404007945,3467.8794985288423,23.008537367864207,1.9165713920010603
110.0,37.05585551667799,36.86868759685133,24.855733176867318,24.457397201686035,21.992000139610855,6.3,6.3,0.0,0.15000001367134336,-0.0,2.3596072484626727,35.49084289177029,46.97140979016282,398.9552461761371,406.273812543219,107156.45889517976,0.01812034658905217,28.352528404007945,3467.8794985288423,28.668955941504926,2.1599493519606767
120.0,37.060790131225275,36.8512518159561,24.733541296306022,24.345382213975192,21.88027649384606,6.3,6.3,0.0,0.15000001367134336,-0.0,2.641628586767001,35.80033231004512,45.77135999739268,398.9081006677744,405.36218104834575,120982.60418354682,0.02172481249328797,28.352528404007945,3467.8794985288423,34.37173175174389,2.183735089362017
130.0,37.065698580257354,36.83381355315056,24.626034879340487,24.24488344471881,21.780769215250615,6.3,6.3,0.0,0.15000001367134336,-0.0,2.923351348232611,36.066427942900155,44.94502466059096,398.7476557614345,404.55057008060976,133937.71460291772,0.025346604705717965,28.352528404007945,3467.8794985288423,40.10192023666913,2.090350255733938
140.0,37.070580903414566,36.81639224032355,24.52947838454817,24.153473953787202,21.690703705043184,6.3,6.3,0.0,0.15000001367134336,-0.0,3.2045310567221064,36.300223411704245,44.33809472557082,398.53017024199517,403.8162443970877,146607.53380668658,0.028979970480452387,28.352528404007945,3467.8794985288423,45.85041973712387,2.177526469255099
150.0,37.07543716003612,36.79900257497656,24.441519394979522,24.069438724512324,21.608229472792264,6.3,6.3,0.0,0.15000001367134336,-0.0,3.4849831703872995,36.508712074140426,43.87540854064076,398.27756673177225,403.1440420171764,158727.92697800987,0.03262159506411803,28.352528404007945,3467.8794985288423,51.61198584357396,2.1529766339226626
160.0,37.08026742461047,36.78165605829607,24.360455453785608,23.99135218125637,21.531896901075584,6.3,6.3,0.0,0.15000001367134336,-0.0,3.7645636339889688,36.6969576150635,43.524316529459206,397.9937357180987,402.52209291055334,170067.34707505803,0.03626873745348085,28.352528404007945,3467.8794985288423,57.38228190050535,2.1612826787750237
170.0,37.08507178352015,36.76436179569455,24.28502524936547,23.91827896864474,21.46064009007101,6.3,6.3,0.0,0.15000001367134336,-0.0,4.043158745518578,36.868713330211904,43.246382235277174,397.6998021520026,401.9416706903453,181026.50474623145,0.03991960904240055,28.352528404007945,3467.8794985288423,63.15847807956009,2.15755679961876
180.0,37.0898503326329,36.74712716399032,24.214306062714144,23.849463698432686,21.39366404579785,6.3,6.3,0.0,0.15000001367134336,-0.0,4.320676714760122,37.02672707690573,43.021874169605425,397.40217510907655,401.39626738355463,192049.73649887723,0.04357287330072072,28.352528404007945,3467.8794985288423,68.93845980064559,2.168212601929554
190.0,37.0946031755519,36.72995829210382,24.147677292518107,23.784413797731865,21.330463738734267,6.3,6.3,0.0,0.15000001367134336,-0.0,4.5970415811416805,37.1728504549672,42.835695338955716,397.10287034546604,400.88174423297386,202637.6370656885,0.04722779024484312,28.352528404007945,3467.8794985288423,74.72105630485439,2.169907819610671
200.0,37.09933042237283,36.71286038518192,24.084615221046054,23.722660974126697,21.27056227700211,6.3,6.3,0.0,0.15000001367134336,-0.0,4.872189111862094,37.30864610403645,42.68131004135769,396.8032794425764,400.39419708887505,212712.38775056865,0.0508836641437781,28.352528404007945,3467.8794985288423,80.50516684717638,2.1696125329617644
210.0,37.104032188673195,36.69583785061486,24.024666260862702,23.663816455022683,21.213543507277056,6.3,6.3,0.0,0.15000001367134336,-0.0,5.146065200467646,37.435467115270676,42.55107537073053,396.50783320223513,399.9302208356218,222774.46161465906,0.05453990581285796,28.352528404007945,3467.8794985288423,86.28985925398027,2.1709708822018
220.0,37.108708594651226,36.67889443715995,23.967452757894574,23.60747632024353,21.15905415300564,6.3,6.3,0.0,0.15000001367134336,-0.0,5.418624102076806,37.55444029790205,42.448088601625784,396.208336376981,399.48692578273017,232111.79920910523,0.05819598937739672,28.352528404007945,3467.8794985288423,92.07430151699687,2.165704944403842
230.0,37.11335976438591,36.662033283270425,23.912636748713002,23.553403681614043,21.10679305744177,6.3,6.3,0.0,0.15000001367134336,-0.0,5.689827814774832,37.66657339680977,42.36043103363447,395.91518902931045,399.0618492909437,241575.56663989005,0.06185151965236019,28.352528404007945,3467.8794985288423,97.85786839750469,2.1650120990816504
240.0,37.117985825205075,36.645257085373565,23.859990372720826,23.501375680312755,21.056564493247606,6.3,6.3,0.0,0.15000001367134336,-0.0,5.959643950181862,37.77254756525936,42.287512861992255,395.6240006908905,398.65338855309886,250532.3755129201,0.06550626011545368,28.352528404007945,3467.8794985288423,103.64018568371854,2.167120623518713
250.0,37.12258690722028,36.62856816162487,23.809285549618323,23.45118000699902,21.00815035658271,6.3,6.3,0.0,0.15000001367134336,-0.0,6.228044923846795,37.87304348804251,42.227474389790586,395.33570903870896,398.25976054564825,259074.87857268192,0.06915994026478518,28.352528404007945,3467.8794985288423,109.42082540331538,2.1716494940337725
260.0,37.1271631428932,36.61196848054097,23.760323728175912,23.402656064123654,20.96136840903573,6.3,6.3,0.0,0.15000001367134336,-0.0,6.495007588808318,37.9686535768642,42.175840154139074,395.053816038281,397.8794754766661,268089.10688963986,0.07281235344529641,28.352528404007945,3467.8794985288423,115.19946059871012,2.1752459385315888
270.0,37.131714666671996,36.59545976305288,23.7129982718282,23.3557058966024,20.916141582868736,6.3,6.3,0.0,0.15000001367134336,-0.0,6.760511944435844,38.05969796104033,42.13158644281109,394.77494165946007,397.51189962169474,276063.98238944716,0.07646347439953811,28.352528404007945,3467.8794985288423,120.97605130903915,2.1720039288629778
280.0,37.13624161473922,36.57904350101674,23.6671308211844,23.31013302129947,20.872273942747295,6.3,6.3,0.0,0.15000001367134336,-0.0,7.02454089988791,38.14670798965674,42.09685039105529,394.4989972559867,397.15543412184803,284096.6599822078,0.08011304074741898,28.352528404007945,3467.8794985288423,126.75018241181894,2.1726754745759536
290.0,37.14074412470525,36.56272093166267,23.622589083424593,23.265814292586757,20.82965023288687,6.3,6.3,0.0,0.15000001367134336,-0.0,7.287080592368536,38.230078161340586,42.07055337047313,394.22470607835436,396.80913685871434,291564.20931796654,0.0837609282557832,28.352528404007945,3467.8794985288423,132.52165735259322,2.1702967103919946
300.0,37.14522233534158,36.54649308095854,23.579253799600266,23.222673251085507,20.788163985989677,6.3,6.3,0.0,0.15000001367134336,-0.0,7.5481198370815195,38.31016384354943,42.0476484953821,393.95692406514917,396.47213789485136,299392.8706395928,0.08740703642323912,28.352528404007945,3467.8794985288423,138.29031712391955,2.1763172637147363
310.0,37.14967638636623,36.53036083452542,23.537058489196834,23.18063550800397,20.747761902791986,6.3,6.3,0.0,0.15000001367134336,-0.0,7.80764923050195,38.38716406150661,42.02906830251114,393.69223846879703,396.14399978528655,306809.9586975579,0.09105135605621503,28.352528404007945,3467.8794985288423,144.05614718026467,2.1771549431723543
320.0,37.154106418299335,36.51432495452458,23.495927022899128,23.139643005881425,20.70837133640577,6.3,6.3,0.0,0.15000001367134336,-0.0,8.065660935661933,38.46130598192025,42.01268177549796,393.4330101781998,395.82412838091244,314211.73360037396,0.09469384865416607,28.352528404007945,3467.8794985288423,149.81908660831112,2.176085219194647
330.0,37.158512572322635,36.49838609299368,23.455787672980467,23.09959828939262,20.669918687210856,6.3,6.3,0.0,0.15000001367134336,-0.0,8.32214851225225,38.532803442182406,42.00152268897149,393.175378817745,395.5119222731693,321122.97164593975,0.0983344442879661,28.352528404007945,3467.8794985288423,155.57902477027253,2.176634924398968
340.0,37.16289499013981,36.482544770459675,23.416560580978643,23.06044523118695,20.632328526648024,6.3,6.3,0.0,0.15000001367134336,-0.0,8.577107184485508,38.60189391244216,41.99279269219968,392.9224677457566,395.2067656649327,328214.00880195247,0.10197308525384252,28.352528404007945,3467.8794985288423,161.33587037060397,2.179051548591815
350.0,37.16725381383535,36.466801409430616,23.378194129763326,23.022121858995686,20.595555747638297,6.3,6.3,0.0,0.15000001367134336,-0.0,8.830533417090063,38.66873113761227,41.98771285352524,392.6715478051209,394.9082892988179,334733.4119019039,0.1056097506308005,28.352528404007945,3467.8794985288423,167.08959030932718,2.180744992714608
360.0,37.171589185765896,36.451156330764746,23.340615792472143,22.984558588477206,20.559525189547404,6.3,6.3,0.0,0.15000001367134336,-0.0,9.082424959713993,38.733530337605956,41.98593619362255,392.4235213621307,394.6158803154785,341271.95727071154,0.10924436674832545,28.352528404007945,3467.8794985288423,172.84006802924907,2.1813886225572787
370.0,37.17590124843767,36.43560976372441,23.303786872425093,22.947741056786324,20.524211559713965,6.3,6.3,0.0,0.15000001367134336,-0.0,9.332780718631605,38.79640651448314,41.98459328919587,392.18015710045023,394.32933088628033,347717.0672565521,0.11287695425744718,28.352528404007945,3467.8794985288423,178.58733620322494,2.18167149159126
380.0,37.1801901444268,36.420161881813144,23.267662891199446,22.91160102993835,20.489565651317232,6.3,6.3,0.0,0.15000001367134336,-0.0,9.581600303944137,38.857491587041196,41.98648537414088,391.938376008187,394.048239340682,353874.02029405546,0.11650747234811507,28.352528404007945,3467.8794985288423,184.33133026397198,2.1821445073583163
390.0,37.18445601629995,36.404812780834284,23.232199925559858,22.876115279149314,20.455548945974762,6.3,6.3,0.0,0.15000001367134336,-0.0,9.828884305192068,38.91691560428651,41.989172177890715,391.70065227727395,393.7722909758466,360152.1575225177,0.12013591329173356,28.352528404007945,3467.8794985288423,190.07203798375699,2.182436351373326
400.0,37.18869900653756,36.38956250780048,23.19737226368138,22.84125312747332,20.42213986486385,6.3,6.3,0.0,0.15000001367134336,-0.0,10.074633925928548,38.97475466763644,41.99323918291591,391.46551363209505,393.50130868762614,366024.5328331963,0.12376228895775133,28.352528404007945,3467.8794985288423,195.80947814172956,2.181715888349572
410.0,37.19291925748027,36.374411055610416,23.163133034903463,22.806954506813433,20.389285466156903,6.3,6.3,0.0,0.15000001367134336,-0.0,10.318851050153059,39.03114722989455,42.000242618708775,391.23180688617964,393.2348611664651,371659.55103031284,0.12738654459609494,28.352528404007945,3467.8794985288423,201.54356411551547,2.1831085028825328
420.0,37.19711691125113,36.35935834622463,23.129442799305764,22.773195133150303,20.356951799792377,6.3,6.3,0.0,0.15000001367134336,-0.0,10.561538453432552,39.08620958104923,42.00839531544167,391.0010962168762,392.9726713537714,377319.06396389846,0.1310086679504111,28.352528404007945,3467.8794985288423,207.27427651382715,2.1831091373751406
430.0,37.20129210968711,36.344404257365014,23.096279269619636,22.739957662850795,20.325121977483978,6.3,6.3,0.0,0.15000001367134336,-0.0,10.802699465439431,39.1400072049248,42.01711432418701,390.773307939093,392.71460068661617,382867.4032888998,0.1346286721578633,28.352528404007945,3467.8794985288423,213.00163612151877,2.1831957203394268
