lambda_pcm,improvement_pct,latent_heat_kJ_kg,total_pcm_latent_heat_kJ,t15_s,t15_min,t10_s,t10_min,target_t15_min,gap_to_target_s,feasible,event_15_reached,event_10_reached,adjacent_t15_difference_s,has_previous_search_point,original_latent_heat_kJ_kg
1.0,0.0,122.31288332079122,55.80249057864119,40717.23398839461,678.6205664732436,60010.27201460718,1000.171200243453,734.8149675489651,-3371.6640645432926,False,True,True,0.0,False,122.31288332079122
1.25,25.0,152.891104150989,69.7531132233015,40748.18439319196,679.1364065531993,60041.23271640718,1000.6872119401197,734.8149675489651,-3340.7136597459466,False,True,True,30.950404797345982,True,122.31288332079122
1.5,50.0,183.46932498118684,83.7037358679618,40779.13752393976,679.6522920656627,60072.19602589642,1001.2032670982736,734.8149675489651,-3309.760528998144,False,True,True,30.95313074780279,True,122.31288332079122
2.0,100.0,244.62576664158243,111.60498115728238,40841.037515820484,680.6839585970081,60134.11603789716,1002.235267298286,734.8149675489651,-3247.86053711742,False,True,True,61.899991880723974,True,122.31288332079122
3.0,200.0,366.9386499623737,167.4074717359236,40964.82089469152,682.7470149115253,60257.938126703884,1004.298968778398,734.8149675489651,-3124.077158246386,False,True,True,123.78337887103407,True,122.31288332079122
